id,name,city,region,location,source
2550,بیلبورد آستارا,آستارا,آستارا، مقابل پایانه ترانزیت,آستارا، مقابل پایانه ترانزیت,billboardiha
2398,بیلبورد کمربندی آستانه اشرفی,آستانه اشرفیه,گیلان، کمربندی آستانه اشرفیه، دید از لاهیجان,گیلان، کمربندی آستانه اشرفیه، دید از لاهیجان,billboardiha
2381,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 16)، رفت,اراک - سلفچگان (کیلومتر 16)، رفت,billboardiha
2382,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 16)، رفت,اراک - سلفچگان (کیلومتر 16)، رفت,billboardiha
2380,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 25)، رفت,اراک - سلفچگان (کیلومتر 25)، رفت,billboardiha
2373,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 37)، برگشت,اراک - سلفچگان (کیلومتر 37)، برگشت,billboardiha
2378,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 37)، رفت,اراک - سلفچگان (کیلومتر 37)، رفت,billboardiha
2374,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 39)، برگشت,اراک - سلفچگان (کیلومتر 39)، برگشت,billboardiha
2377,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 39)، رفت,اراک - سلفچگان (کیلومتر 39)، رفت,billboardiha
2375,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 40)، برگشت,اراک - سلفچگان (کیلومتر 40)، برگشت,billboardiha
2376,بیلبورد اراک - سلفچگان,اراک,اراک - سلفچگان (کیلومتر 56)، برگشت,اراک - سلفچگان (کیلومتر 56)، برگشت,billboardiha
1490,بیلبورد چهارراه دکتر حسابی,اراک,چهارراه دکتر حسابی,چهارراه دکتر حسابی,billboardiha
3100,بیلبورد اشتهارد,اردبیل,اشتهارد، بلوا اصلی جنب شهرک صنعتی اشتهارد (برگشت),اشتهارد، بلوا اصلی جنب شهرک صنعتی اشتهارد (برگشت),billboardiha
3101,بیلبورد اشتهارد,اردبیل,اشتهارد، بلوا اصلی جنب شهرک صنعتی اشتهارد (رفت),اشتهارد، بلوا اصلی جنب شهرک صنعتی اشتهارد (رفت),billboardiha
2036,بیلبورد خروجی اردبیل,اردبیل,خروجی اردبیل به مغان,خروجی اردبیل به مغان,billboardiha
2050,بیلبورد خروجی سرعین,اردبیل,خروجی سرعین به سمت اردبیل - الف,خروجی سرعین به سمت اردبیل - الف,billboardiha
2049,بیلبورد خروجی سرعین,اردبیل,خروجی سرعین به سمت اردبیل - ب,خروجی سرعین به سمت اردبیل - ب,billboardiha
2064,بیلبورد رضوان,اردبیل,رضوان، کنار ورزشگاه رضازاده,رضوان، کنار ورزشگاه رضازاده,billboardiha
